FECHA HECHO;COD_DEPTO;DEPARTAMENTO;COD_MUNI;MUNICIPIO;CANTIDAD
8/10/2019;76;VALLE DEL CAUCA;76001;CALI;1
11/10/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
16/10/2019;70;SUCRE;70001;SINCELEJO;1
16/10/2019;76;VALLE DEL CAUCA;76001;CALI;1
23/10/2019;68;SANTANDER;68001;BUCARAMANGA;1
25/10/2019;8;ATLÁNTICO;8001;BARRANQUILLA;2
28/10/2019;8;ATLÁNTICO;8758;SOLEDAD;1
28/10/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
30/10/2019;8;ATLÁNTICO;8001;BARRANQUILLA;1
1/11/2019;5;ANTIOQUIA;5001;MEDELLIN;1
1/11/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;2
1/11/2019;19;CAUCA;19142;CALOTO;1
4/11/2019;5;ANTIOQUIA;5480;MUTATA;1
5/11/2019;5;ANTIOQUIA;5001;MEDELLIN;1
5/11/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
5/11/2019;23;CÓRDOBA;23660;SAHAGUN;1
5/11/2019;76;VALLE DEL CAUCA;76001;CALI;1
8/11/2019;8;ATLÁNTICO;8001;BARRANQUILLA;1
8/11/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
13/11/2019;76;VALLE DEL CAUCA;76001;CALI;1
14/11/2019;52;NARIÑO;52835;SAN ANDRES DE TUMACO;1
14/11/2019;76;VALLE DEL CAUCA;76892;YUMBO;1
15/11/2019;5;ANTIOQUIA;5631;SABANETA;1
15/11/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
16/11/2019;70;SUCRE;70001;SINCELEJO;1
18/11/2019;44;LA GUAJIRA;44035;ALBANIA;1
19/11/2019;76;VALLE DEL CAUCA;76001;CALI;1
20/11/2019;5;ANTIOQUIA;5001;MEDELLIN;1
20/11/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
22/11/2019;44;LA GUAJIRA;44035;ALBANIA;1
26/11/2019;47;MAGDALENA;47189;CIENAGA;1
27/11/2019;76;VALLE DEL CAUCA;76001;CALI;1
29/11/2019;76;VALLE DEL CAUCA;76001;CALI;1
30/11/2019;19;CAUCA;19001;POPAYAN;1
30/11/2019;70;SUCRE;70221;COVEÑAS;1
3/12/2019;76;VALLE DEL CAUCA;76001;CALI;1
4/12/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
6/12/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
9/12/2019;52;NARIÑO;52835;SAN ANDRES DE TUMACO;1
13/12/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
16/12/2019;47;MAGDALENA;47555;PLATO;1
18/12/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
23/12/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
24/12/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
25/12/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
26/12/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
26/12/2019;19;CAUCA;19137;CALDONO;2
27/12/2019;76;VALLE DEL CAUCA;76001;CALI;1
28/12/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
30/12/2019;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;3
3/01/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
7/01/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
7/01/2020;76;VALLE DEL CAUCA;76001;CALI;1
10/01/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
10/01/2020;13;BOLÍVAR;13430;MAGANGUE;1
11/01/2020;5;ANTIOQUIA;5315;GUADALUPE;1
14/01/2020;52;NARIÑO;52019;ALBAN;1
15/01/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
15/01/2020;76;VALLE DEL CAUCA;76001;CALI;1
20/01/2020;76;VALLE DEL CAUCA;76001;CALI;1
21/01/2020;8;ATLÁNTICO;8001;BARRANQUILLA;1
21/01/2020;54;NORTE DE SANTANDER;54001;CUCUTA;1
21/01/2020;76;VALLE DEL CAUCA;76001;CALI;1
22/01/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;2
24/01/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
29/01/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
30/01/2020;66;RISARALDA;66001;PEREIRA;1
4/02/2020;25;CUNDINAMARCA;25797;TENA;1
6/02/2020;76;VALLE DEL CAUCA;76001;CALI;1
15/02/2020;70;SUCRE;70473;MORROA;1
18/02/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
22/02/2020;5;ANTIOQUIA;5101;CIUDAD BOLIVAR;1
25/02/2020;76;VALLE DEL CAUCA;76001;CALI;1
2/03/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
5/03/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
13/03/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
18/03/2020;5;ANTIOQUIA;5001;MEDELLIN;1
19/03/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
20/03/2020;5;ANTIOQUIA;5310;GOMEZ PLATA;1
20/03/2020;66;RISARALDA;66170;DOSQUEBRADAS;1
20/03/2020;70;SUCRE;70215;COROZAL;1
7/04/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
9/05/2020;66;RISARALDA;66170;DOSQUEBRADAS;1
14/05/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
22/05/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
28/05/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
3/06/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
12/06/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
19/06/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
29/06/2020;5;ANTIOQUIA;5234;DABEIBA;1
1/07/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
6/07/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
23/07/2020;8;ATLÁNTICO;8001;BARRANQUILLA;1
3/08/2020;13;BOLÍVAR;13836;TURBACO;1
5/08/2020;76;VALLE DEL CAUCA;76364;JAMUNDI;1
11/08/2020;41;HUILA;41551;PITALITO;1
13/08/2020;73;TOLIMA;73671;SALDAÑA;1
21/08/2020;5;ANTIOQUIA;5001;MEDELLIN;1
22/08/2020;8;ATLÁNTICO;8141;CANDELARIA;1
2/09/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;2
9/09/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
10/09/2020;76;VALLE DEL CAUCA;76001;CALI;3
11/09/2020;76;VALLE DEL CAUCA;76001;CALI;1
16/09/2020;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
17/09/2020;63;QUINDÍO;63001;ARMENIA;1
